No.;Time;;;;;time 2;time 1;delay;;delay 2;delay 1;jitter
187;3,90071;3,90071;;;;3,900768;3,90071;5,8E-05;;0,000289;5,8E-05;0,000231
188;3,900768;3,900768;;;;3,901057;3,900768;0,000289;;0,001712;0,000289;0,001423
189;3,901057;3,901057;;;;3,902769;3,901057;0,001712;;6,4E-05;0,001712;-0,001648
190;3,902769;3,902769;;;;3,902833;3,902769;6,4E-05;;0,000909;6,4E-05;0,000845
191;3,902833;3,902833;;;;3,903742;3,902833;0,000909;;0,000908;0,000909;-1E-06
192;3,903742;3,903742;;;;3,90465;3,903742;0,000908;;6,1E-05;0,000908;-0,000847
193;3,90465;3,90465;;;;3,904711;3,90465;6,1E-05;;0,000526;6,1E-05;0,000465
194;3,904711;3,904711;;;;3,905237;3,904711;0,000526;;0,002953;0,000526;0,002427
195;3,905237;3,905237;;;;3,90819;3,905237;0,002953;;0,000103;0,002953;-0,00285
196;3,90819;3,90819;;;;3,908293;3,90819;0,000103;;0,003897;0,000103;0,003794
197;3,908293;3,908293;;;;3,91219;3,908293;0,003897;;0,002576;0,003897;-0,001321
198;3,91219;3,91219;;;;3,914766;3,91219;0,002576;;0;0,002576;-0,002576
199;3,914766;3,914766;;;;3,914766;3,914766;0;;0;0;0
200;3,914766;3,914766;;;;3,914766;3,914766;0;;0;0;0
201;3,914766;3,914766;;;;3,914766;3,914766;0;;0,000202;0;0,000202
202;3,914766;3,914766;;;;3,914968;3,914766;0,000202;;0,000738;0,000202;0,000536
203;3,914968;3,914968;;;;3,915706;3,914968;0,000738;;0,000237;0,000738;-0,000501
204;3,915706;3,915706;;;;3,915943;3,915706;0,000237;;0,022262;0,000237;0,022025
206;3,915943;3,915943;;;;3,938205;3,915943;0,022262;;0,013187;0,022262;-0,009075
211;3,938205;3,938205;;;;3,951392;3,938205;0,013187;;0,000635;0,013187;-0,012552
212;3,951392;3,951392;;;;3,952027;3,951392;0,000635;;6,8E-05;0,000635;-0,000567
213;3,952027;3,952027;;;;3,952095;3,952027;6,8E-05;;0,001104;6,8E-05;0,001036
214;3,952095;3,952095;;;;3,953199;3,952095;0,001104;;0,014649;0,001104;0,013545
215;3,953199;3,953199;;;;3,967848;3,953199;0,014649;;0,02181;0,014649;0,007161
216;3,967848;3,967848;;;;3,989658;3,967848;0,02181;;9,3E-05;0,02181;-0,021717
217;3,989658;3,989658;;;;3,989751;3,989658;9,3E-05;;0,015649;9,3E-05;0,015556
218;3,989751;3,989751;;;;4,0054;3,989751;0,015649;;0;0,015649;-0,015649
219;4,0054;4,0054;;;;4,0054;4,0054;0;;0;0;0
